epoch,accuracy,loss,val_accuracy,val_loss
0,0.04169334098696709,4.93712043762207,0.07259999960660934,4.478298664093018
1,0.08778809010982513,4.517609119415283,0.09950000047683716,4.224357604980469
2,0.1280209720134735,4.254666805267334,0.1800999939441681,3.6758573055267334
3,0.16076144576072693,4.0603814125061035,0.2045000046491623,3.505295991897583
4,0.19004081189632416,3.9049277305603027,0.22139999270439148,3.447997570037842
5,0.22333146631717682,3.7481281757354736,0.2565999925136566,3.2552950382232666
6,0.253461092710495,3.6155240535736084,0.3093000054359436,2.9347033500671387
7,0.28200024366378784,3.490415334701538,0.3508000075817108,2.770881414413452
8,0.3003961145877838,3.3977131843566895,0.3614000082015991,2.7077994346618652
9,0.3194522261619568,3.3071680068969727,0.37959998846054077,2.6175003051757812
10,0.34030890464782715,3.2283384799957275,0.41100001335144043,2.484797477722168
11,0.3565240800380707,3.1602466106414795,0.4180000126361847,2.402132034301758
12,0.3748299479484558,3.095428705215454,0.44940000772476196,2.28243088722229
13,0.3883242607116699,3.03037428855896,0.46639999747276306,2.223726511001587
14,0.4008082449436188,2.9807965755462646,0.45890000462532043,2.2471301555633545
15,0.41295215487480164,2.9246699810028076,0.46140000224113464,2.237697124481201
16,0.4270266592502594,2.874768018722534,0.4722000062465668,2.1821348667144775
17,0.43438899517059326,2.8383636474609375,0.46790000796318054,2.2279200553894043
18,0.44636282324790955,2.7875869274139404,0.4894999861717224,2.118098497390747
19,0.45646607875823975,2.7576324939727783,0.4970000088214874,2.069382429122925
20,0.4651588499546051,2.7196977138519287,0.5049999952316284,2.043102979660034
21,0.4775528311729431,2.679511547088623,0.5232999920845032,1.965399980545044
22,0.48296454548835754,2.650176763534546,0.5257999897003174,1.956477165222168
23,0.4886563718318939,2.6229658126831055,0.5164999961853027,1.9989252090454102
24,0.49944981932640076,2.58744740486145,0.531000018119812,1.945380449295044
25,0.506862223148346,2.5603394508361816,0.5133000016212463,2.0061066150665283
26,0.5140745043754578,2.5288288593292236,0.532800018787384,1.9577667713165283
27,0.5211267471313477,2.5013022422790527,0.5307999849319458,1.9596623182296753
28,0.5258082747459412,2.484046220779419,0.5005000233650208,2.1131513118743896
29,0.5337908267974854,2.447255849838257,0.5311999917030334,1.9475871324539185
30,0.5398727655410767,2.427487850189209,0.5546000003814697,1.8654847145080566
31,0.5458046793937683,2.4027085304260254,0.5464000105857849,1.8800657987594604
32,0.553076982498169,2.374939441680908,0.5485000014305115,1.8748736381530762
33,0.5610195398330688,2.349196195602417,0.5428000092506409,1.911344289779663
34,0.5672615170478821,2.327741861343384,0.5551000237464905,1.8707391023635864
35,0.5696122646331787,2.315079927444458,0.5522000193595886,1.8936986923217773
36,0.5777148604393005,2.286973237991333,0.5411999821662903,1.909863829612732
37,0.5815261006355286,2.2693841457366943,0.5558000206947327,1.8643860816955566
38,0.5847971439361572,2.245537519454956,0.555899977684021,1.8576819896697998
39,0.5929497480392456,2.2287063598632812,0.5669999718666077,1.8299481868743896
40,0.5985815525054932,2.200892686843872,0.5709999799728394,1.8117684125900269
41,0.605173647403717,2.183833360671997,0.5595999956130981,1.8456181287765503
42,0.6075844168663025,2.166630983352661,0.5756999850273132,1.7925125360488892
43,0.6153069138526917,2.14394474029541,0.5728999972343445,1.7961992025375366
44,0.61961829662323,2.130481481552124,0.566100001335144,1.872976541519165
45,0.6243798136711121,2.108299732208252,0.5799999833106995,1.8033630847930908
46,0.628381073474884,2.0950026512145996,0.5837000012397766,1.7908656597137451
47,0.6340028643608093,2.082604169845581,0.5843999981880188,1.7803465127944946
48,0.6357634663581848,2.0647473335266113,0.5827000141143799,1.7634986639022827
49,0.6420354247093201,2.047409772872925,0.5819000005722046,1.8093582391738892
50,0.6474671959877014,2.026994466781616,0.5766000151634216,1.841392993927002
51,0.6500080227851868,2.0143940448760986,0.5873000025749207,1.7783772945404053
52,0.6551596522331238,2.000394105911255,0.5810999870300293,1.7943421602249146
53,0.6600711941719055,1.9856274127960205,0.5896000266075134,1.7772009372711182
54,0.6615216732025146,1.9674805402755737,0.5781000256538391,1.8163933753967285
55,0.6674835681915283,1.9577120542526245,0.5882999897003174,1.790459394454956
56,0.6690140962600708,1.9468822479248047,0.5849999785423279,1.7867248058319092
57,0.6741456985473633,1.9292181730270386,0.5875999927520752,1.8239225149154663
58,0.6785071492195129,1.912312388420105,0.5895000100135803,1.8022265434265137
59,0.6845290660858154,1.8938511610031128,0.5860999822616577,1.795944333076477
60,0.6838688254356384,1.8865519762039185,0.5834000110626221,1.86698317527771
61,0.6895106434822083,1.8784672021865845,0.5956000089645386,1.7633283138275146
62,0.6932218074798584,1.8674063682556152,0.5960999727249146,1.7688363790512085
63,0.695772647857666,1.853076696395874,0.599399983882904,1.737136960029602
64,0.6981434226036072,1.8511743545532227,0.5917999744415283,1.814081072807312
65,0.7007042169570923,1.8287231922149658,0.5985000133514404,1.7550042867660522
66,0.7057058215141296,1.8203190565109253,0.592199981212616,1.793380618095398
67,0.7059959173202515,1.810174584388733,0.597100019454956,1.7755601406097412
68,0.7125980257987976,1.7979187965393066,0.6028000116348267,1.7518632411956787
69,0.710707426071167,1.7920169830322266,0.5989000201225281,1.797884225845337
70,0.7177196741104126,1.7764827013015747,0.6013000011444092,1.7892199754714966
71,0.7180397510528564,1.7718021869659424,0.6035000085830688,1.7640928030014038
72,0.7200904488563538,1.763189673423767,0.6025999784469604,1.7795994281768799
73,0.7220310568809509,1.7590183019638062,0.6032999753952026,1.7680562734603882
74,0.7256522178649902,1.7460299730300903,0.6018999814987183,1.7793042659759521
75,0.7287431955337524,1.7385640144348145,0.6025000214576721,1.8012946844100952
76,0.7318941950798035,1.7307974100112915,0.6025000214576721,1.7809878587722778
77,0.7316241264343262,1.726270079612732,0.60589998960495,1.7617343664169312
78,0.7334346771240234,1.7174897193908691,0.6061999797821045,1.7711255550384521
79,0.7326644659042358,1.7159233093261719,0.6043999791145325,1.7754713296890259
80,0.7378461360931396,1.7079802751541138,0.6057000160217285,1.784994125366211
81,0.7365056872367859,1.708300232887268,0.6037999987602234,1.7861560583114624
82,0.7381961941719055,1.6997920274734497,0.6072999835014343,1.768935203552246
83,0.7409271001815796,1.6941266059875488,0.6021999716758728,1.769761562347412
84,0.741957426071167,1.690959095954895,0.6069999933242798,1.7716556787490845
85,0.74307781457901,1.6888281106948853,0.6053000092506409,1.7757982015609741
86,0.74461829662323,1.6803206205368042,0.6055999994277954,1.7716128826141357
87,0.7461187839508057,1.6772449016571045,0.6072999835014343,1.7613871097564697
88,0.746388852596283,1.6804866790771484,0.6080999970436096,1.763225793838501
89,0.7449383735656738,1.6765421628952026,0.6062999963760376,1.7686148881912231
90,0.7463088035583496,1.6708093881607056,0.6078000068664551,1.7664488554000854
91,0.7479693293571472,1.6730947494506836,0.6074000000953674,1.767773985862732
