epoch,accuracy,loss,val_accuracy,val_loss
0,0.04120318591594696,4.935024261474609,0.0778999999165535,4.528500080108643
1,0.09019886702299118,4.508110046386719,0.1339000016450882,3.996074914932251
2,0.12753081321716309,4.257750034332275,0.16279999911785126,3.8014843463897705
3,0.15825064480304718,4.0791802406311035,0.17249999940395355,3.793706178665161
4,0.1851692497730255,3.9391629695892334,0.1972000002861023,3.6492812633514404
5,0.21529889106750488,3.788902521133423,0.21330000460147858,3.5337343215942383
6,0.2412872165441513,3.6670284271240234,0.28040000796318054,3.0926530361175537
7,0.2657550275325775,3.551999092102051,0.3310999870300293,2.837399959564209
8,0.2867317497730255,3.458834409713745,0.35260000824928284,2.770843744277954
9,0.3054277300834656,3.3771181106567383,0.36660000681877136,2.6943905353546143
10,0.32368358969688416,3.2986831665039062,0.3903999924659729,2.568631172180176
11,0.3392885625362396,3.232004165649414,0.3756999969482422,2.614224910736084
12,0.3555237650871277,3.1671860218048096,0.4226999878883362,2.42993426322937
13,0.37018847465515137,3.1044883728027344,0.43540000915527344,2.3614561557769775
14,0.38242238759994507,3.050281047821045,0.4417000114917755,2.343343734741211
15,0.39566659927368164,2.9991471767425537,0.4629000127315521,2.228267192840576
16,0.4072403311729431,2.948791027069092,0.4571000039577484,2.2861592769622803
17,0.4180837869644165,2.912259340286255,0.4706999957561493,2.2044436931610107
18,0.43036770820617676,2.8616433143615723,0.4634000062942505,2.234337568283081
19,0.4352092742919922,2.830350637435913,0.4855000078678131,2.0992188453674316
20,0.44635283946990967,2.7902352809906006,0.4839000105857849,2.1144859790802
21,0.45570582151412964,2.754607677459717,0.49869999289512634,2.0536296367645264
22,0.4660291373729706,2.718627452850342,0.5030999779701233,2.064074993133545
23,0.46907010674476624,2.6974070072174072,0.5063999891281128,2.0787014961242676
24,0.481914222240448,2.6554460525512695,0.5213000178337097,1.994278073310852
25,0.4876360297203064,2.632239818572998,0.5044000148773193,2.0671186447143555
26,0.4964688718318939,2.5970873832702637,0.5135999917984009,2.011106252670288
27,0.5044814348220825,2.574387550354004,0.5163999795913696,2.0140860080718994
28,0.505611777305603,2.5525143146514893,0.5149000287055969,2.0068750381469727
29,0.5151548385620117,2.5198464393615723,0.5270000100135803,1.948854684829712
30,0.5200764536857605,2.4971766471862793,0.5302000045776367,1.9330124855041504
31,0.5267085433006287,2.4770002365112305,0.5454999804496765,1.8775687217712402
32,0.534170925617218,2.4481570720672607,0.5354999899864197,1.9406437873840332
33,0.5400227904319763,2.424732208251953,0.5419999957084656,1.89738130569458
34,0.5474951863288879,2.398453712463379,0.5422000288963318,1.9353843927383423
35,0.5522167086601257,2.387162685394287,0.5507000088691711,1.883303165435791
36,0.5563780665397644,2.3603904247283936,0.5471000075340271,1.8951640129089355
37,0.5632502436637878,2.340686559677124,0.5419999957084656,1.925376534461975
38,0.5692221522331238,2.320486307144165,0.5432999730110168,1.9172265529632568
39,0.5723231434822083,2.3025717735290527,0.5493000149726868,1.8688468933105469
40,0.5792553424835205,2.2776012420654297,0.557699978351593,1.8801875114440918
41,0.5835367441177368,2.255565643310547,0.5609999895095825,1.8341312408447266
42,0.5871378779411316,2.2423901557922363,0.5687000155448914,1.8172436952590942
43,0.5960407257080078,2.217604637145996,0.5576000213623047,1.8491061925888062
44,0.5996518731117249,2.2015082836151123,0.5557000041007996,1.8961561918258667
45,0.605763852596283,2.1775505542755127,0.5570999979972839,1.8991906642913818
46,0.6104353666305542,2.1623706817626953,0.552299976348877,1.8743031024932861
47,0.6139264702796936,2.150118112564087,0.5644999742507935,1.8562421798706055
48,0.6180678009986877,2.1303091049194336,0.57669997215271,1.7930281162261963
49,0.6240897178649902,2.110349178314209,0.5594000220298767,1.9004125595092773
50,0.6296114921569824,2.095673084259033,0.5705000162124634,1.8428906202316284
51,0.6330825686454773,2.077996253967285,0.5752999782562256,1.794209361076355
52,0.6379141211509705,2.060495615005493,0.5755000114440918,1.8062093257904053
53,0.641115128993988,2.0486042499542236,0.5717999935150146,1.8306281566619873
54,0.644666314125061,2.031683921813965,0.5770999789237976,1.8891656398773193
55,0.6510683298110962,2.01078462600708,0.5856000185012817,1.7769453525543213
56,0.6547595262527466,1.998970866203308,0.5874000191688538,1.8009905815124512
57,0.6600112318992615,1.9826068878173828,0.5895000100135803,1.7782578468322754
58,0.6647326946258545,1.96369469165802,0.5871999859809875,1.7899500131607056
59,0.6680137515068054,1.9516832828521729,0.5902000069618225,1.780287504196167
60,0.6715148687362671,1.9338650703430176,0.589900016784668,1.819671869277954
61,0.6768165826797485,1.9241231679916382,0.5896999835968018,1.7890266180038452
62,0.6783170700073242,1.9115417003631592,0.5813999772071838,1.843065619468689
63,0.6853693127632141,1.8954590559005737,0.5939000248908997,1.7846624851226807
64,0.6861295700073242,1.8881654739379883,0.5834000110626221,1.8125406503677368
65,0.6914112567901611,1.8686442375183105,0.593500018119812,1.7714874744415283
66,0.6944122314453125,1.8546665906906128,0.5910999774932861,1.7976000308990479
67,0.7005441784858704,1.8420957326889038,0.5927000045776367,1.798728108406067
68,0.703785240650177,1.8296329975128174,0.593999981880188,1.8000593185424805
69,0.7049455642700195,1.8160293102264404,0.5940999984741211,1.7960906028747559
70,0.7101172208786011,1.8040248155593872,0.5954999923706055,1.7943437099456787
71,0.710447371006012,1.798919439315796,0.5989999771118164,1.795356273651123
72,0.7154489159584045,1.7857252359390259,0.6043000221252441,1.7299312353134155
73,0.7174896001815796,1.7747929096221924,0.59579998254776,1.78144371509552
74,0.7215709090232849,1.7608778476715088,0.5981000065803528,1.7956594228744507
75,0.7231414318084717,1.7556555271148682,0.5953999757766724,1.7906874418258667
76,0.7258923053741455,1.7477630376815796,0.5963000059127808,1.7812625169754028
77,0.7291033267974854,1.7362030744552612,0.5996999740600586,1.7571187019348145
78,0.7332546710968018,1.7263855934143066,0.5992000102996826,1.7775750160217285
79,0.7336647510528564,1.7199660539627075,0.6018000245094299,1.7578843832015991
80,0.7369058132171631,1.7098684310913086,0.6067000031471252,1.7512218952178955
81,0.7376360297203064,1.707317590713501,0.6060000061988831,1.75390625
82,0.7384663224220276,1.7017782926559448,0.6062999963760376,1.7592124938964844
83,0.742877721786499,1.6886428594589233,0.6064000129699707,1.7569968700408936
84,0.7446982860565186,1.6840676069259644,0.6057999730110168,1.7323031425476074
85,0.7469390034675598,1.6757361888885498,0.607699990272522,1.7362843751907349
86,0.748229444026947,1.6694536209106445,0.6067000031471252,1.746221899986267
87,0.7495598793029785,1.6673554182052612,0.6118000149726868,1.7369749546051025
88,0.7494798302650452,1.6638692617416382,0.6104999780654907,1.7390999794006348
89,0.7511803507804871,1.6638998985290527,0.6105999946594238,1.7141125202178955
90,0.7506101727485657,1.6610528230667114,0.6118999719619751,1.705856204032898
91,0.753771185874939,1.6602575778961182,0.6105999946594238,1.699737548828125
92,0.7522807121276855,1.65770423412323,0.6122000217437744,1.6938124895095825
93,0.7527809143066406,1.6574928760528564,0.6104999780654907,1.6854374408721924
94,0.7545314431190491,1.6550614833831787,0.6110000014305115,1.6832218170166016
95,0.751510500907898,1.659374713897705,0.6114000082015991,1.670021891593933
96,0.756071925163269,1.6548126935958862,0.6115000247955322,1.6630125045776367
97,0.754691481590271,1.6588565111160278,0.61080002784729,1.656418800354004
98,0.7549616098403931,1.6631109714508057,0.6108999848365784,1.650221824645996
99,0.7548215389251709,1.6628371477127075,0.6129999756813049,1.644309401512146
