model,run,seed,run_name,best_val_accuracy,best_val_loss,final_val_accuracy,final_val_loss,evaluation_accuracy,evaluation_loss
baseline,1,42,baseline_run_01,0.6121000051498413,1.728355050086975,0.6110000014305115,1.7142568826675415,0.6110000014305115,1.7142568826675415
se,1,42,se_run_01,0.6184999942779541,1.7287691831588745,0.6154999732971191,1.7374114990234375,0.6154999732971191,1.7374114990234375
cbam,1,42,cbam_run_01,0.6062999963760376,1.8153742551803589,0.6054999828338623,1.8155995607376099,0.6054999828338623,1.8155995607376099
